ds,yhat,yhat_lower,yhat_upper,city
2023-01-01,4612.000030060105,4612.0000299411295,4612.000030171982,Casablanca
2023-02-01,4469.0000538654385,4469.000053753587,4469.000053980416,Casablanca
2023-03-01,6038.999925444579,6038.999925333374,6038.999925555752,Casablanca
2023-04-01,4843.000079384661,4843.000079266311,4843.000079505272,Casablanca
2023-05-01,4447.000040403131,4447.000040282976,4447.000040512655,Casablanca
2023-06-01,5336.999986133318,5336.999986023989,5336.999986248736,Casablanca
2023-07-01,4126.999995993158,4126.999995884984,4126.999996109178,Casablanca
2023-08-01,3971.99998541664,3971.999985300003,3971.9999855275264,Casablanca
2023-09-01,4394.000040023358,4394.000039910653,4394.000040141215,Casablanca
2023-10-01,4622.00002234672,4622.000022227371,4622.000022456227,Casablanca
2023-11-01,4396.000038048185,4396.000037932567,4396.000038157946,Casablanca
2023-12-01,4394.999948776514,4394.999948667096,4394.999948887654,Casablanca
2024-01-01,4554.000032003322,4554.000031884544,4554.000032116549,Casablanca
2024-02-01,4070.000052051687,4070.0000519417667,4070.0000521573206,Casablanca
2024-03-01,5344.999929977143,5344.9999298613575,5344.999930094399,Casablanca
2024-04-01,4373.000076199386,4373.000076086516,4373.000076305791,Casablanca
2024-05-01,4272.000037486713,4272.0000373801495,4272.000037600282,Casablanca
2024-06-01,5484.999992137824,5484.99999201831,5484.999992245763,Casablanca
2024-07-01,3650.9999974883294,3650.9999973700064,3650.9999975939672,Casablanca
2024-08-01,3554.999984113103,3554.999984003829,3554.999984225464,Casablanca
2024-09-01,4830.000043891117,4830.00004377634,4830.000044008886,Casablanca
2024-10-01,4449.0000207435905,4449.0000206323575,4449.00002086591,Casablanca
2024-11-01,4515.000041310819,4515.000041196536,4515.0000414261185,Casablanca
2024-12-01,4178.99994749611,4178.99994738534,4178.999947609759,Casablanca
2025-01-01,4566.062099948755,4561.665689253478,4570.432852384837,Casablanca
2025-02-01,5106.818273381257,5091.117690391074,5122.607374947623,Casablanca
2025-03-01,5875.563433662314,5840.876231537892,5911.366024789092,Casablanca
2025-04-01,4842.708974406058,4796.561956482497,4891.202925476014,Casablanca
2025-05-01,4695.030605533464,4631.346001630466,4760.440582614573,Casablanca
2025-06-01,5907.878871890709,5801.494892947545,6014.180247377826,Casablanca
2025-07-01,4144.108892534488,4055.0069290212436,4237.334959993635,Casablanca
2025-08-01,4038.570502673292,3935.919790203012,4150.749474847548,Casablanca
2025-09-01,5141.600899112546,4988.386616447649,5309.516402681746,Casablanca
2025-10-01,4957.545337548137,4784.381124183163,5148.810946203879,Casablanca
2025-11-01,4940.904785924985,4740.942215426598,5155.356275738194,Casablanca
2025-12-01,4712.081688995105,4496.0447313762115,4943.987783892606,Casablanca
2026-01-01,5080.23426342115,4814.846186068097,5364.643425648424,Casablanca
2023-01-01,3113.0000215172668,3113.0000213791345,3113.000021649686,Rabat
2023-02-01,3217.999984851679,3217.9999847038303,3217.999984993337,Rabat
2023-03-01,3920.9999951764776,3920.999995036695,3920.999995309842,Rabat
2023-04-01,3259.999930057752,3259.9999299208644,3259.999930193428,Rabat
2023-05-01,3104.000029199742,3104.0000290685493,3104.0000293352273,Rabat
2023-06-01,3784.0000330764906,3784.0000329339364,3784.0000332166414,Rabat
2023-07-01,2637.999981795739,2637.9999816654936,2637.999981934643,Rabat
2023-08-01,2972.0000280442864,2972.0000279083647,2972.0000281819393,Rabat
2023-09-01,3197.999940034002,3197.999939897633,3197.999940173267,Rabat
2023-10-01,3030.9999884234276,3030.999988277558,3030.999988576483,Rabat
2023-11-01,3332.0000050601316,3332.0000049131645,3332.0000052022365,Rabat
2023-12-01,3005.0000094173865,3005.00000928229,3005.0000095430637,Rabat
2024-01-01,3233.000013017984,3233.000012876384,3233.0000131637694,Rabat
2024-02-01,2885.9999810943586,2885.9999809593287,2885.9999812250308,Rabat
2024-03-01,3883.999990314058,3883.9999901693823,3883.999990447188,Rabat
2024-04-01,3230.999924928981,3230.999924801683,3230.999925064546,Rabat
2024-05-01,3318.000023217796,3318.000023085124,3318.0000233558276,Rabat
2024-06-01,3873.0000313186365,3873.0000311831823,3873.0000314621016,Rabat
2024-07-01,2703.999980606153,2703.99998046624,2703.9999807410736,Rabat
2024-08-01,2679.0000271812078,2679.0000270337546,2679.00002731514,Rabat
2024-09-01,2962.999944289937,2962.9999441569025,2962.999944433634,Rabat
2024-10-01,3084.9999902176896,3084.999990076016,3084.9999903540092,Rabat
2024-11-01,3126.0000044653534,3126.0000043332116,3126.000004601515,Rabat
2024-12-01,3369.00001216022,3369.0000120106447,3369.000012306852,Rabat
2025-01-01,1728.1730160883203,1723.7195075206907,1732.5261521186162,Rabat
2025-02-01,2751.4187062005453,2728.5084685162515,2773.8406176052167,Rabat
2025-03-01,3216.1959975571913,3161.0648427740675,3268.5603628159365,Rabat
2025-04-01,2634.9503637112507,2563.6075279430484,2703.632385712443,Rabat
2025-05-01,2619.946490605888,2520.2831484105277,2718.133970829394,Rabat
2025-06-01,3076.281757165099,2919.67527799731,3237.2849774892898,Rabat
2025-07-01,2120.0026663164854,1980.8137852480024,2262.8715675317185,Rabat
2025-08-01,2167.6302255762494,1987.712561421386,2353.067854590423,Rabat
2025-09-01,2345.0091098949288,2102.966645052161,2593.3549623894805,Rabat
2025-10-01,2335.800862718307,2042.9615596462781,2632.0903356768786,Rabat
2025-11-01,2396.595956959048,2034.3458011059288,2751.1085105208226,Rabat
2025-12-01,2408.1390770221233,1991.576681536613,2826.5056018660075,Rabat
2026-01-01,1596.519138217306,1278.216289568604,1913.5102311172657,Rabat
2023-01-01,2848.0000052817813,2848.0000052077817,2848.000005355015,Fès
2023-02-01,2553.000004186712,2553.000004119809,2553.0000042569804,Fès
2023-03-01,3698.999968878106,3698.9999688052103,3698.9999689432425,Fès
